colour	key	showSelected2	fill	group
#C49A00	Romania	Europe et Asie centrale	#C49A00	164
#C49A00	Serbia	Europe et Asie centrale	#C49A00	165
#C49A00	Russian Federation	Europe et Asie centrale	#C49A00	166
#FB61D7	Rwanda	Afrique subsaharienne	#FB61D7	167
#00C094	Saudi Arabia	Moyen orient et Magreb	#00C094	168
#F8766D	Solomon Islands	Asie de l'est et pacifique	#F8766D	169
#FB61D7	Seychelles	Afrique subsaharienne	#FB61D7	170
#FB61D7	Sudan	Afrique subsaharienne	#FB61D7	171
#C49A00	Sweden	Europe et Asie centrale	#C49A00	172
#F8766D	Singapore	Asie de l'est et pacifique	#F8766D	173
#C49A00	Slovenia	Europe et Asie centrale	#C49A00	174
#C49A00	Slovak Republic	Europe et Asie centrale	#C49A00	175
#FB61D7	Sierra Leone	Afrique subsaharienne	#FB61D7	176
#C49A00	San Marino	Europe et Asie centrale	#C49A00	177
#FB61D7	Senegal	Afrique subsaharienne	#FB61D7	178
#FB61D7	Somalia	Afrique subsaharienne	#FB61D7	179
#53B400	Suriname	Amérique latine et Caraïbes	#53B400	180
#FB61D7	South Sudan	Afrique subsaharienne	#FB61D7	181
#FB61D7	Sao Tome and Principe	Afrique subsaharienne	#FB61D7	182
#53B400	El Salvador	Amérique latine et Caraïbes	#53B400	183
#53B400	Sint Maarten (Dutch part)	Amérique latine et Caraïbes	#53B400	184
#00C094	Syrian Arab Republic	Moyen orient et Magreb	#00C094	185
#FB61D7	Swaziland	Afrique subsaharienne	#FB61D7	186
#53B400	Turks and Caicos Islands	Amérique latine et Caraïbes	#53B400	187
#FB61D7	Chad	Afrique subsaharienne	#FB61D7	188
#FB61D7	Togo	Afrique subsaharienne	#FB61D7	189
#F8766D	Thailand	Asie de l'est et pacifique	#F8766D	190
#C49A00	Tajikistan	Europe et Asie centrale	#C49A00	191
#F8766D	Timor-Leste	Asie de l'est et pacifique	#F8766D	192
#C49A00	Turkmenistan	Europe et Asie centrale	#C49A00	193
#00C094	Tunisia	Moyen orient et Magreb	#00C094	194
#F8766D	Tonga	Asie de l'est et pacifique	#F8766D	195
#C49A00	Turkey	Europe et Asie centrale	#C49A00	196
#53B400	Trinidad and Tobago	Amérique latine et Caraïbes	#53B400	197
#F8766D	Tuvalu	Asie de l'est et pacifique	#F8766D	198
#FB61D7	Tanzania	Afrique subsaharienne	#FB61D7	199
#C49A00	Ukraine	Europe et Asie centrale	#C49A00	200
#FB61D7	Uganda	Afrique subsaharienne	#FB61D7	201
#00B6EB	United States	Amérique du nord	#00B6EB	202
#53B400	Uruguay	Amérique latine et Caraïbes	#53B400	203
#C49A00	Uzbekistan	Europe et Asie centrale	#C49A00	204
#53B400	St. Vincent and the Grenadines	Amérique latine et Caraïbes	#53B400	205
#53B400	Venezuela, RB	Amérique latine et Caraïbes	#53B400	206
#53B400	Virgin Islands (U.S.)	Amérique latine et Caraïbes	#53B400	207
#F8766D	Vietnam	Asie de l'est et pacifique	#F8766D	208
#F8766D	Vanuatu	Asie de l'est et pacifique	#F8766D	209
#F8766D	Samoa	Asie de l'est et pacifique	#F8766D	210
#00C094	Yemen, Rep.	Moyen orient et Magreb	#00C094	211
#FB61D7	South Africa	Afrique subsaharienne	#FB61D7	212
#FB61D7	Zambia	Afrique subsaharienne	#FB61D7	213
#FB61D7	Zimbabwe	Afrique subsaharienne	#FB61D7	214
